epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3728.42,1.53843,1.44309,1.44894,0.37565,0.32187,0.27312,0.09199,2.55284,2.82003,2.53892,0.000540037,0.000540037,0.000540037
43,3817.28,1.52818,1.41138,1.44094,0.3491,0.31381,0.26378,0.09835,2.60086,2.92041,2.58063,0.000531038,0.000531038,0.000531038
44,3906.15,1.51429,1.36959,1.43385,0.38007,0.27454,0.25086,0.08639,2.65313,2.82622,2.58418,0.000522039,0.000522039,0.000522039
45,3994.29,1.52274,1.36715,1.43719,0.25983,0.28283,0.22728,0.07774,2.67624,2.92369,2.62575,0.00051304,0.00051304,0.00051304
46,4082.78,1.49906,1.36082,1.41656,0.26856,0.33665,0.23815,0.07924,2.65047,2.84626,2.58069,0.00050404,0.00050404,0.00050404
47,4171.41,1.45553,1.29593,1.40936,0.29449,0.30023,0.23854,0.08383,2.66057,2.82223,2.58169,0.000495041,0.000495041,0.000495041
48,4261.1,1.45426,1.26956,1.39575,0.32782,0.32874,0.26074,0.09156,2.67573,2.833,2.63006,0.000486042,0.000486042,0.000486042
49,4353.1,1.42994,1.23639,1.37298,0.38689,0.31647,0.27819,0.09498,2.70217,2.73596,2.65502,0.000477043,0.000477043,0.000477043
50,4442.26,1.42062,1.23555,1.35591,0.30643,0.28313,0.25173,0.08391,2.71882,2.87233,2.67736,0.000468044,0.000468044,0.000468044
51,4531.36,1.4211,1.20814,1.36469,0.30791,0.29437,0.24003,0.08707,2.62875,2.89748,2.66647,0.000459045,0.000459045,0.000459045
52,4618.63,1.40731,1.17867,1.35827,0.34473,0.29594,0.26394,0.0876,2.69696,2.98276,2.66002,0.000450046,0.000450046,0.000450046
53,4709.3,1.41228,1.19139,1.35481,0.34119,0.325,0.2697,0.09347,2.68591,2.85924,2.6365,0.000441047,0.000441047,0.000441047
54,4799.61,1.41021,1.18316,1.3372,0.31301,0.30028,0.26327,0.09235,2.71989,2.81827,2.70569,0.000432048,0.000432048,0.000432048
55,4888.39,1.37092,1.13035,1.33368,0.31644,0.30643,0.25716,0.09195,2.64324,2.89374,2.57228,0.000423049,0.000423049,0.000423049
56,4977.42,1.35747,1.16253,1.33015,0.27179,0.29353,0.22546,0.08466,2.70272,2.97709,2.68111,0.000414049,0.000414049,0.000414049
57,5068.2,1.37211,1.10402,1.33713,0.31913,0.27118,0.23488,0.089,2.6414,3.04896,2.60948,0.00040505,0.00040505,0.00040505
58,5157.72,1.33963,1.09998,1.30864,0.33156,0.26473,0.2523,0.08242,2.72908,2.98668,2.71684,0.000396051,0.000396051,0.000396051
59,5247.87,1.32995,1.09384,1.30217,0.39263,0.26029,0.25137,0.0852,2.74455,2.88326,2.73951,0.000387052,0.000387052,0.000387052
60,5337.64,1.30764,1.05734,1.28573,0.30076,0.29255,0.2332,0.08493,2.77932,3.19945,2.74829,0.000378053,0.000378053,0.000378053
61,5427.77,1.31729,1.05896,1.28798,0.28392,0.32868,0.2603,0.08661,2.74039,2.96642,2.75441,0.000369054,0.000369054,0.000369054
62,5518.12,1.29403,1.02912,1.26953,0.30773,0.31011,0.23586,0.08651,2.76683,3.08724,2.74273,0.000360055,0.000360055,0.000360055
63,5607.36,1.27893,1.02334,1.26999,0.30496,0.26844,0.23533,0.08004,2.6734,3.08772,2.61547,0.000351056,0.000351056,0.000351056
64,5695.61,1.25986,0.994,1.26195,0.3122,0.30857,0.24873,0.09159,2.68548,3.01712,2.69642,0.000342057,0.000342057,0.000342057
65,5785.37,1.29019,1.02257,1.26927,0.33521,0.27845,0.23529,0.0882,2.72255,3.03973,2.73016,0.000333058,0.000333058,0.000333058
66,5873.42,1.25032,0.98702,1.2497,0.36953,0.25124,0.23957,0.08833,2.68937,3.13477,2.67006,0.000324058,0.000324058,0.000324058
67,5962,1.25034,0.97126,1.24239,0.36102,0.24823,0.23689,0.08503,2.77315,3.16665,2.78573,0.000315059,0.000315059,0.000315059
68,6049.97,1.24161,0.97771,1.24195,0.26534,0.29284,0.24191,0.0862,2.71917,3.04428,2.72936,0.00030606,0.00030606,0.00030606
69,6138.72,1.22854,0.95423,1.23492,0.30894,0.28038,0.24061,0.08245,2.76027,3.00071,2.81348,0.000297061,0.000297061,0.000297061
70,6227.17,1.21444,0.91747,1.22262,0.37323,0.26727,0.23768,0.08581,2.73795,3.12905,2.74205,0.000288062,0.000288062,0.000288062
71,6315.79,1.21664,0.92682,1.23369,0.31768,0.2568,0.23521,0.08409,2.78478,3.21572,2.79086,0.000279063,0.000279063,0.000279063
72,6404.21,1.19152,0.90222,1.20349,0.31901,0.28738,0.25074,0.08005,2.78656,3.10254,2.83268,0.000270064,0.000270064,0.000270064
73,6493.32,1.19326,0.91964,1.20913,0.38502,0.2646,0.26106,0.09035,2.82479,3.06201,2.88503,0.000261065,0.000261065,0.000261065
74,6582.11,1.18218,0.88201,1.20003,0.30697,0.28202,0.26896,0.08662,2.81162,3.05252,2.86021,0.000252066,0.000252066,0.000252066
75,6671.94,1.15505,0.857,1.18707,0.34659,0.31548,0.26586,0.09025,2.78427,2.96943,2.79809,0.000243067,0.000243067,0.000243067
76,6760.84,1.17095,0.87539,1.19643,0.34942,0.31443,0.27229,0.09285,2.79791,3.08256,2.86607,0.000234068,0.000234068,0.000234068
77,6849.1,1.13524,0.85427,1.16356,0.34726,0.28907,0.23911,0.0878,2.76987,3.08877,2.84631,0.000225068,0.000225068,0.000225068
78,6939.41,1.15671,0.86602,1.18844,0.38707,0.28917,0.25214,0.08546,2.74703,3.15564,2.81483,0.000216069,0.000216069,0.000216069
79,7028.74,1.12268,0.85006,1.16866,0.31395,0.29792,0.24169,0.08459,2.80666,3.194,2.87236,0.00020707,0.00020707,0.00020707
80,7117,1.09571,0.80868,1.14501,0.35827,0.27211,0.23585,0.08469,2.82219,3.04098,2.8564,0.000198071,0.000198071,0.000198071
81,7206.59,1.12788,0.82363,1.16889,0.32659,0.29968,0.24117,0.08726,2.79335,3.18203,2.84571,0.000189072,0.000189072,0.000189072
82,7297.68,1.11503,0.81861,1.15588,0.31866,0.28524,0.23925,0.09226,2.765,3.07769,2.80273,0.000180073,0.000180073,0.000180073
83,7388.55,1.09344,0.79608,1.15202,0.32585,0.24672,0.24218,0.09147,2.79081,3.21347,2.82522,0.000171074,0.000171074,0.000171074
84,7478.08,1.06808,0.7906,1.13491,0.32278,0.24857,0.22956,0.08489,2.8061,3.31399,2.8759,0.000162075,0.000162075,0.000162075
85,7567.58,1.09195,0.81102,1.14815,0.28345,0.26325,0.22976,0.09026,2.77357,3.31359,2.87796,0.000153076,0.000153076,0.000153076
86,7657.04,1.09666,0.79838,1.14387,0.30299,0.27785,0.23655,0.08771,2.82148,3.29177,2.89393,0.000144077,0.000144077,0.000144077
87,7746.88,1.08491,0.80437,1.14381,0.31203,0.25248,0.24458,0.08965,2.78183,3.3547,2.82154,0.000135077,0.000135077,0.000135077
88,7837.83,1.06315,0.77094,1.13023,0.39225,0.25628,0.2328,0.08298,2.81748,3.26104,2.91773,0.000126078,0.000126078,0.000126078
89,7927.27,1.07219,0.77455,1.12408,0.34514,0.23297,0.22188,0.08197,2.87822,3.33238,2.95959,0.000117079,0.000117079,0.000117079
90,8017.16,1.03186,0.75225,1.10282,0.30408,0.236,0.23617,0.08645,2.82716,3.32476,2.91727,0.00010808,0.00010808,0.00010808
91,8105.35,0.96859,0.60964,1.12138,0.33477,0.22761,0.22699,0.08206,2.8395,3.34609,2.86496,9.9081e-05,9.9081e-05,9.9081e-05
92,8189.15,0.91706,0.56232,1.07797,0.29517,0.23002,0.22981,0.08693,2.84995,3.41418,2.93017,9.00819e-05,9.00819e-05,9.00819e-05
93,8273.59,0.90568,0.54411,1.0653,0.328,0.25107,0.23323,0.08593,2.84408,3.37458,2.95395,8.10828e-05,8.10828e-05,8.10828e-05
94,8358.43,0.90569,0.55483,1.07659,0.32741,0.24788,0.2425,0.08841,2.83803,3.38646,2.93684,7.20837e-05,7.20837e-05,7.20837e-05
95,8441.15,0.8929,0.54284,1.06564,0.3226,0.24391,0.22936,0.08507,2.84703,3.40369,2.94859,6.30846e-05,6.30846e-05,6.30846e-05
96,8526.01,0.88672,0.53217,1.06803,0.29611,0.23283,0.22312,0.07874,2.86466,3.37834,3.01799,5.40855e-05,5.40855e-05,5.40855e-05
97,8610.09,0.87618,0.52792,1.06273,0.30905,0.23078,0.23023,0.08304,2.85968,3.3099,3.02566,4.50864e-05,4.50864e-05,4.50864e-05
98,8693.65,0.8784,0.52436,1.0617,0.3115,0.23559,0.22366,0.08249,2.86027,3.42828,2.99953,3.60873e-05,3.60873e-05,3.60873e-05
99,8777.14,0.84701,0.51451,1.04407,0.30798,0.23624,0.2276,0.08228,2.85947,3.38717,3.00126,2.70882e-05,2.70882e-05,2.70882e-05
100,8860.95,0.84088,0.49962,1.03999,0.31677,0.24157,0.22663,0.08389,2.85847,3.38698,3.01636,1.80891e-05,1.80891e-05,1.80891e-05
